Date,SP500 ^GSPC,SP500 ^GSPC,NASDAQ ^IXIC,NASDAQ ^IXIC,DJI ^DJI,DJI ^DJI,RUSSELL2000 ^RUT,RUSSELL2000 ^RUT,FTSE ^FTSE,FTSE ^FTSE,NIKKEI ^N225,NIKKEI ^N225,GOLD GC=F,USD INDEX DX-Y.NYB,VIX
2007-08-01,1473.989990234375,91381760000,2596.360107421875,52126030000,13357.740234375,6199120000,792.8599853515625,91381760000,6303.2998046875,38476548200,16569.08984375,3199300000,8547,80.79000091552734,25.06
2007-09-01,1526.75,57809700000,2701.5,35257250000,13895.6298828125,4328370000,805.4500122070312,57809700000,6466.7998046875,35732252900,16785.689453125,2068700000,27393,77.72000122070312,22.78
2007-10-01,1549.3800048828125,76022580000,2859.1201171875,48751620000,13930.009765625,5010920000,828.02001953125,76022580000,6721.60009765625,41475583200,16737.630859375,2633300000,2720,76.4800033569336,18.8
2007-11-01,1481.1400146484375,86246950000,2660.9599609375,50214790000,13371.7197265625,5980230000,767.77001953125,86246950000,6432.5,32517377600,15680.669921875,3089900000,239351,76.1500015258789,25.61
2007-12-01,1468.3599853515625,64821670000,2652.280029296875,37753390000,13264.8203125,4310320000,766.030029296875,64821670000,6456.89990234375,19604099800,15307.7802734375,2330800000,7681,76.69999694824219,22.075
2008-01-01,1378.550048828125,98475340000,2389.860107421875,55211960000,12650.3603515625,7459830000,713.2999877929688,98475340000,5879.7998046875,34401653400,13592.4697265625,3114100000,231851,75.18000030517578,25.43
2008-02-01,1330.6300048828125,78536130000,2271.47998046875,45767570000,12266.3896484375,5720360000,686.1799926757812,78536130000,5884.2998046875,28408840600,13603.01953125,2916400000,8233,73.70999908447266,25.33
2008-03-01,1322.699951171875,93189170000,2279.10009765625,44966440000,12262.8896484375,6229020000,687.969970703125,93189170000,5702.10009765625,30218452400,12525.5400390625,2821400000,216432,71.80000305175781,26.32
2008-04-01,1385.5899658203125,85978630000,2412.800048828125,42726250000,12820.1298828125,5050840000,716.1799926757812,85978630000,6087.2998046875,25274143900,13849.990234375,2572700000,13006,72.51000213623047,21.425
2008-05-01,1400.3800048828125,80990480000,2522.659912109375,42783110000,12638.3203125,4530790000,748.280029296875,80990480000,6053.5,23305545700,14338.5400390625,2699700000,221797,72.87999725341797,18.18
2008-07-01,1267.3800048828125,124980570000,2325.550048828125,50672460000,11378.01953125,5551580000,714.52001953125,124980570000,5411.89990234375,38130751300,13376.8095703125,2658600000,250610,73.2300033569336,24.14
2008-08-01,1282.8299560546875,86266010000,2367.52001953125,39482890000,11543.9599609375,3578210000,739.5,86266010000,5636.60009765625,23496934500,13072.8701171875,2443300000,9253,77.37999725341797,20.65
2008-09-01,1166.3599853515625,140007320000,2091.8798828125,51722940000,10850.66015625,6302330000,679.5800170898438,141134640000,4902.5,34049796200,11259.8603515625,2905700000,18800,79.44999694824219,31.7
2008-10-01,968.75,159823030000,1720.949951171875,62537120000,9325.009765625,8311580000,537.52001953125,161289700000,4377.2998046875,39422701800,8576.98046875,4267300000,3365,85.62999725341797,62.9
2008-11-01,896.239990234375,115660210000,1535.5699462890625,41933210000,8829.0400390625,6262880000,473.1400146484375,115660210000,4288.0,26771142200,8512.26953125,2850200000,377779,86.5199966430664,61.44
2008-12-01,903.25,112884470000,1577.030029296875,39619890000,8776.3896484375,5701870000,499.45001220703125,112884470000,4434.2001953125,20068050300,8859.5595703125,2663800000,9599,81.30999755859375,53.325
2009-01-01,825.8800048828125,112090640000,1476.4200439453125,39995600000,8000.85986328125,6261980000,443.5299987792969,112090640000,4149.60009765625,27430125500,7994.0498046875,2655200000,215420,86.0,44.115
2009-04-01,872.8099975585938,138855320000,1717.300048828125,48683640000,8168.1201171875,7795900000,487.55999755859375,138855320000,4243.7001953125,25137931400,8828.259765625,3798500000,17300,84.61000061035156,37.81
2009-05-01,919.1400146484375,131614940000,1774.3299560546875,47352030000,8500.330078125,6734390000,501.5799865722656,131614940000,4417.89990234375,22926029100,9522.5,3006700000,234559,80.43000030517578,32.205
2009-06-01,919.3200073242188,112653150000,1835.0400390625,51881250000,8447.0,5524080000,508.2799987792969,112653150000,4249.2001953125,25379501300,9958.4404296875,3795800000,12773,80.12999725341797,29.625
2009-07-01,987.47998046875,106635790000,1978.5,47084360000,9171.6103515625,4902340000,556.7100219726562,106635790000,4608.39990234375,22705926400,10356.830078125,3393000000,177420,78.3499984741211,25.515
